"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Germany","2012","Total","Both Sexes","Mönchengladbach","City proper","Estimate - de jure","Final figure, complete","2012","257208",""
"Germany","2012","Total","Both Sexes","Mülheim an der Ruhr","City proper","Estimate - de jure","Final figure, complete","2012","167156",""
"Germany","2012","Total","Both Sexes","München","City proper","Estimate - de jure","Final figure, complete","2012","1378176",""
"Germany","2012","Total","Both Sexes","Münster (Westf.)","City proper","Estimate - de jure","Final figure, complete","2012","291754",""
"Germany","2012","Total","Both Sexes","Neuss","City proper","Estimate - de jure","Final figure, complete","2012","152010",""
"Germany","2012","Total","Both Sexes","Nürnberg","City proper","Estimate - de jure","Final figure, complete","2012","510602",""
"Germany","2012","Total","Both Sexes","Oberhausen","City proper","Estimate - de jure","Final figure, complete","2012","212568",""
"Germany","2012","Total","Both Sexes","Offenbach am Main","City proper","Estimate - de jure","Final figure, complete","2012","122705",""
"Germany","2012","Total","Both Sexes","Oldenburg (Oldenburg)","City proper","Estimate - de jure","Final figure, complete","2012","162481",""
"Germany","2012","Total","Both Sexes","Osnabrück","City proper","Estimate - de jure","Final figure, complete","2012","165021",""
"Germany","2012","Total","Both Sexes","Paderborn","City proper","Estimate - de jure","Final figure, complete","2012","147688",""
"Germany","2012","Total","Both Sexes","Pforzheim","City proper","Estimate - de jure","Final figure, complete","2012","120709",""
"Germany","2012","Total","Both Sexes","Potsdam","City proper","Estimate - de jure","Final figure, complete","2012","158902",""
"Germany","2012","Total","Both Sexes","Recklinghausen","City proper","Estimate - de jure","Final figure, complete","2012","117672",""
"Germany","2012","Total","Both Sexes","Regensburg","City proper","Estimate - de jure","Final figure, complete","2012","136577",""
"Germany","2012","Total","Both Sexes","Remscheid","City proper","Estimate - de jure","Final figure, complete","2012","109596",""
"Germany","2012","Total","Both Sexes","Reutlingen","City proper","Estimate - de jure","Final figure, complete","2012","112735",""
"Germany","2012","Total","Both Sexes","Rostock","City proper","Estimate - de jure","Final figure, complete","2012","204260",""
"Germany","2012","Total","Both Sexes","Saarbrücken","City proper","Estimate - de jure","Final figure, complete","2012","176135",""
