Country or Area,Year,Area,Sex,City,State,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2012,Total,Both Sexes,Sacramento ,California,City proper,Estimate - de jure,"Final figure, complete",2014,475516,"1,2"
United States of America,2012,Total,Both Sexes,Salem ,Oregon,City proper,Estimate - de jure,"Final figure, complete",2014,157429,"1,2"
United States of America,2012,Total,Both Sexes,Salinas ,California,City proper,Estimate - de jure,"Final figure, complete",2014,154484,"1,2"
United States of America,2012,Total,Both Sexes,Salt Lake City ,Utah,City proper,Estimate - de jure,"Final figure, complete",2014,189314,"1,2"
United States of America,2012,Total,Both Sexes,San Antonio ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,1382951,"1,2"
United States of America,2012,Total,Both Sexes,San Bernardino ,California,City proper,Estimate - de jure,"Final figure, complete",2014,213295,"1,2"
United States of America,2012,Total,Both Sexes,San Buenaventura ,California,City proper,Estimate - de jure,"Final figure, complete",2014,107734,"1,2"
United States of America,2012,Total,Both Sexes,San Diego ,California,City proper,Estimate - de jure,"Final figure, complete",2014,1338348,"1,2"
United States of America,2012,Total,Both Sexes,San Francisco ,California,City proper,Estimate - de jure,"Final figure, complete",2014,825863,"1,2"
United States of America,2012,Total,Both Sexes,San Jose ,California,City proper,Estimate - de jure,"Final figure, complete",2014,982765,"1,2"
United States of America,2012,Total,Both Sexes,Santa Ana ,California,City proper,Estimate - de jure,"Final figure, complete",2014,330920,"1,2"
United States of America,2012,Total,Both Sexes,Santa Clara ,California,City proper,Estimate - de jure,"Final figure, complete",2014,119311,"1,2"
United States of America,2012,Total,Both Sexes,Santa Clarita ,California,City proper,Estimate - de jure,"Final figure, complete",2014,179013,"1,2"
United States of America,2012,Total,Both Sexes,Santa Maria ,California,City proper,Estimate - de jure,"Final figure, complete",2014,101459,"1,2"
United States of America,2012,Total,Both Sexes,Santa Rosa ,California,City proper,Estimate - de jure,"Final figure, complete",2014,170685,"1,2"
United States of America,2012,Total,Both Sexes,Savannah ,Georgia,City proper,Estimate - de jure,"Final figure, complete",2014,142022,"1,2"
United States of America,2012,Total,Both Sexes,Scottsdale ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,223514,"1,2"
United States of America,2012,Total,Both Sexes,Seattle ,Washington,City proper,Estimate - de jure,"Final figure, complete",2014,634535,"1,2"
United States of America,2012,Total,Both Sexes,Shreveport ,Louisiana,City proper,Estimate - de jure,"Final figure, complete",2014,201867,"1,2"
United States of America,2012,Total,Both Sexes,Simi Valley ,California,City proper,Estimate - de jure,"Final figure, complete",2014,125793,"1,2"
United States of America,2012,Total,Both Sexes,Sioux Falls ,South Dakota,City proper,Estimate - de jure,"Final figure, complete",2014,159908,"1,2"
United States of America,2012,Total,Both Sexes,South Bend ,Indiana,City proper,Estimate - de jure,"Final figure, complete",2014,100800,"1,2"
United States of America,2012,Total,Both Sexes,Spokane ,Washington,City proper,Estimate - de jure,"Final figure, complete",2014,209525,"1,2"
United States of America,2012,Total,Both Sexes,Springfield ,Illinois,City proper,Estimate - de jure,"Final figure, complete",2014,117126,"1,2"
United States of America,2012,Total,Both Sexes,Springfield ,Massachusetts,City proper,Estimate - de jure,"Final figure, complete",2014,153552,"1,2"
United States of America,2012,Total,Both Sexes,Springfield ,Missouri,City proper,Estimate - de jure,"Final figure, complete",2014,162191,"1,2"
United States of America,2012,Total,Both Sexes,St. Louis ,Missouri,City proper,Estimate - de jure,"Final figure, complete",2014,318172,"1,2"
United States of America,2012,Total,Both Sexes,St. Paul ,Minnesota,City proper,Estimate - de jure,"Final figure, complete",2014,290770,"1,2"
United States of America,2012,Total,Both Sexes,St. Petersburg ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,246541,"1,2"
United States of America,2012,Total,Both Sexes,Stamford ,Connecticut,City proper,Estimate - de jure,"Final figure, complete",2014,125109,"1,2"
United States of America,2012,Total,Both Sexes,Sterling Heights ,Michigan,City proper,Estimate - de jure,"Final figure, complete",2014,130410,"1,2"
United States of America,2012,Total,Both Sexes,Stockton ,California,City proper,Estimate - de jure,"Final figure, complete",2014,297984,"1,2"
United States of America,2012,Total,Both Sexes,Sunnyvale ,California,City proper,Estimate - de jure,"Final figure, complete",2014,146197,"1,2"
United States of America,2012,Total,Both Sexes,Surprise ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,121287,"1,2"
United States of America,2012,Total,Both Sexes,Syracuse ,New York,City proper,Estimate - de jure,"Final figure, complete",2014,144170,"1,2"
United States of America,2012,Total,Both Sexes,Tacoma ,Washington,City proper,Estimate - de jure,"Final figure, complete",2014,202010,"1,2"
United States of America,2012,Total,Both Sexes,Tallahassee ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,186971,"1,2"
United States of America,2012,Total,Both Sexes,Tampa ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,347645,"1,2"
United States of America,2012,Total,Both Sexes,Temecula ,California,City proper,Estimate - de jure,"Final figure, complete",2014,105208,"1,2"
United States of America,2012,Total,Both Sexes,Tempe ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,166842,"1,2"
United States of America,2012,Total,Both Sexes,Thornton ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,124140,"1,2"
United States of America,2012,Total,Both Sexes,Thousand Oaks ,California,City proper,Estimate - de jure,"Final figure, complete",2014,128412,"1,2"
United States of America,2012,Total,Both Sexes,Toledo ,Ohio,City proper,Estimate - de jure,"Final figure, complete",2014,284012,"1,2"
United States of America,2012,Total,Both Sexes,Topeka ,Kansas,City proper,Estimate - de jure,"Final figure, complete",2014,127939,"1,2"
United States of America,2012,Total,Both Sexes,Torrance ,California,City proper,Estimate - de jure,"Final figure, complete",2014,147027,"1,2"
United States of America,2012,Total,Both Sexes,Tucson ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,524295,"1,2"
United States of America,2012,Total,Both Sexes,Tulsa ,Oklahoma,City proper,Estimate - de jure,"Final figure, complete",2014,393987,"1,2"
United States of America,2012,Total,Both Sexes,Vallejo ,California,City proper,Estimate - de jure,"Final figure, complete",2014,117796,"1,2"
United States of America,2012,Total,Both Sexes,Vancouver ,Washington,City proper,Estimate - de jure,"Final figure, complete",2014,165489,"1,2"
United States of America,2012,Total,Both Sexes,Victorville City ,California,City proper,Estimate - de jure,"Final figure, complete",2014,120336,"1,2"
United States of America,2012,Total,Both Sexes,Virginia Beach ,Virginia,City proper,Estimate - de jure,"Final figure, complete",2014,447021,"1,2"
United States of America,2012,Total,Both Sexes,Visalia ,California,City proper,Estimate - de jure,"Final figure, complete",2014,127081,"1,2"
United States of America,2012,Total,Both Sexes,Waco ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,127018,"1,2"
United States of America,2012,Total,Both Sexes,Warren ,Michigan,City proper,Estimate - de jure,"Final figure, complete",2014,134141,"1,2"
United States of America,2012,Total,Both Sexes,WASHINGTON ,Dist. of Columbia,City proper,Estimate - de jure,"Final figure, complete",2014,632323,"1,2"
United States of America,2012,Total,Both Sexes,Waterbury ,Connecticut,City proper,Estimate - de jure,"Final figure, complete",2014,109915,"1,2"
United States of America,2012,Total,Both Sexes,West Covina ,California,City proper,Estimate - de jure,"Final figure, complete",2014,107440,"1,2"
United States of America,2012,Total,Both Sexes,West Jordan ,Utah,City proper,Estimate - de jure,"Final figure, complete",2014,108383,"1,2"
United States of America,2012,Total,Both Sexes,West Palm Beach ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,101903,"1,2"
United States of America,2012,Total,Both Sexes,West Valley City ,Utah,City proper,Estimate - de jure,"Final figure, complete",2014,132434,"1,2"
United States of America,2012,Total,Both Sexes,Westminster ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,109169,"1,2"
United States of America,2012,Total,Both Sexes,Wichita ,Kansas,City proper,Estimate - de jure,"Final figure, complete",2014,385577,"1,2"
United States of America,2012,Total,Both Sexes,Wichita Falls ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,104552,"1,2"
United States of America,2012,Total,Both Sexes,Wilmington ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,109922,"1,2"
United States of America,2012,Total,Both Sexes,Winston-Salem ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,234349,"1,2"
United States of America,2012,Total,Both Sexes,Worcester ,Massachusetts,City proper,Estimate - de jure,"Final figure, complete",2014,182669,"1,2"
United States of America,2012,Total,Both Sexes,Yonkers ,New York,City proper,Estimate - de jure,"Final figure, complete",2014,198449,"1,2"
