Country or Area,Year,Area,Sex,City,State,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2012,Total,Both Sexes,Clearwater ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,108732,"1,2"
United States of America,2012,Total,Both Sexes,Cleveland ,Ohio,City proper,Estimate - de jure,"Final figure, complete",2014,390928,"1,2"
United States of America,2012,Total,Both Sexes,Colorado Springs ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,431834,"1,2"
United States of America,2012,Total,Both Sexes,Columbia ,Missouri,City proper,Estimate - de jure,"Final figure, complete",2014,113225,"1,2"
United States of America,2012,Total,Both Sexes,Columbia ,South Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,131686,"1,2"
United States of America,2012,Total,Both Sexes,Columbus ,Georgia,City proper,Estimate - de jure,"Final figure, complete",2014,198413,"1,2"
United States of America,2012,Total,Both Sexes,Columbus ,Ohio,City proper,Estimate - de jure,"Final figure, complete",2014,809798,"1,2"
United States of America,2012,Total,Both Sexes,Concord ,California,City proper,Estimate - de jure,"Final figure, complete",2014,124711,"1,2"
United States of America,2012,Total,Both Sexes,Coral Springs ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,125287,"1,2"
United States of America,2012,Total,Both Sexes,Corona ,California,City proper,Estimate - de jure,"Final figure, complete",2014,158391,"1,2"
United States of America,2012,Total,Both Sexes,Corpus Christi ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,312195,"1,2"
United States of America,2012,Total,Both Sexes,Costa Mesa ,California,City proper,Estimate - de jure,"Final figure, complete",2014,111918,"1,2"
United States of America,2012,Total,Both Sexes,Dallas ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,1241162,"1,2"
United States of America,2012,Total,Both Sexes,Daly City ,California,City proper,Estimate - de jure,"Final figure, complete",2014,103690,"1,2"
United States of America,2012,Total,Both Sexes,Davenport ,Iowa,City proper,Estimate - de jure,"Final figure, complete",2014,101363,"1,2"
United States of America,2012,Total,Both Sexes,Dayton ,Ohio,City proper,Estimate - de jure,"Final figure, complete",2014,141359,"1,2"
United States of America,2012,Total,Both Sexes,Denton ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,121123,"1,2"
United States of America,2012,Total,Both Sexes,Denver ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,634265,"1,2"
United States of America,2012,Total,Both Sexes,Des Moines ,Iowa,City proper,Estimate - de jure,"Final figure, complete",2014,206688,"1,2"
United States of America,2012,Total,Both Sexes,Detroit ,Michigan,City proper,Estimate - de jure,"Final figure, complete",2014,701475,"1,2"
United States of America,2012,Total,Both Sexes,Downey ,California,City proper,Estimate - de jure,"Final figure, complete",2014,112873,"1,2"
United States of America,2012,Total,Both Sexes,Durham ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,239358,"1,2"
United States of America,2012,Total,Both Sexes,El Monte ,California,City proper,Estimate - de jure,"Final figure, complete",2014,115111,"1,2"
United States of America,2012,Total,Both Sexes,El Paso ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,672538,"1,2"
United States of America,2012,Total,Both Sexes,Elgin ,Illinois,City proper,Estimate - de jure,"Final figure, complete",2014,109927,"1,2"
United States of America,2012,Total,Both Sexes,Elizabeth ,New Jersey,City proper,Estimate - de jure,"Final figure, complete",2014,126458,"1,2"
United States of America,2012,Total,Both Sexes,Elk Grove ,California,City proper,Estimate - de jure,"Final figure, complete",2014,159038,"1,2"
United States of America,2012,Total,Both Sexes,Erie ,Pennsylvania,City proper,Estimate - de jure,"Final figure, complete",2014,101047,"1,2"
United States of America,2012,Total,Both Sexes,Escondido ,California,City proper,Estimate - de jure,"Final figure, complete",2014,147575,"1,2"
United States of America,2012,Total,Both Sexes,Eugene ,Oregon,City proper,Estimate - de jure,"Final figure, complete",2014,157986,"1,2"
United States of America,2012,Total,Both Sexes,Evansville ,Indiana,City proper,Estimate - de jure,"Final figure, complete",2014,120235,"1,2"
United States of America,2012,Total,Both Sexes,Everett ,Washington,City proper,Estimate - de jure,"Final figure, complete",2014,104655,"1,2"
United States of America,2012,Total,Both Sexes,Fairfield ,California,City proper,Estimate - de jure,"Final figure, complete",2014,107684,"1,2"
United States of America,2012,Total,Both Sexes,Fargo ,North Dakota,City proper,Estimate - de jure,"Final figure, complete",2014,109779,"1,2"
United States of America,2012,Total,Both Sexes,Fayetteville ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,202103,"1,2"
United States of America,2012,Total,Both Sexes,Flint ,Michigan,City proper,Estimate - de jure,"Final figure, complete",2014,100515,"1,2"
United States of America,2012,Total,Both Sexes,Fontana ,California,City proper,Estimate - de jure,"Final figure, complete",2014,201812,"1,2"
United States of America,2012,Total,Both Sexes,Fort Collins ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,148612,"1,2"
United States of America,2012,Total,Both Sexes,Fort Lauderdale ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,170747,"1,2"
United States of America,2012,Total,Both Sexes,Fort Wayne ,Indiana,City proper,Estimate - de jure,"Final figure, complete",2014,254555,"1,2"
United States of America,2012,Total,Both Sexes,Fort Worth ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,777992,"1,2"
United States of America,2012,Total,Both Sexes,Fremont ,California,City proper,Estimate - de jure,"Final figure, complete",2014,221986,"1,2"
United States of America,2012,Total,Both Sexes,Fresno ,California,City proper,Estimate - de jure,"Final figure, complete",2014,505882,"1,2"
United States of America,2012,Total,Both Sexes,Frisco ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,128176,"1,2"
United States of America,2012,Total,Both Sexes,Fullerton ,California,City proper,Estimate - de jure,"Final figure, complete",2014,138574,"1,2"
United States of America,2012,Total,Both Sexes,Gainesville ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,126047,"1,2"
United States of America,2012,Total,Both Sexes,Garden Grove ,California,City proper,Estimate - de jure,"Final figure, complete",2014,174389,"1,2"
United States of America,2012,Total,Both Sexes,Garland ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,233564,"1,2"
United States of America,2012,Total,Both Sexes,Gilbert ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,221140,"1,2"
United States of America,2012,Total,Both Sexes,Glendale ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,232143,"1,2"
United States of America,2012,Total,Both Sexes,Glendale ,California,City proper,Estimate - de jure,"Final figure, complete",2014,194478,"1,2"
United States of America,2012,Total,Both Sexes,Grand Prairie ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,181824,"1,2"
United States of America,2012,Total,Both Sexes,Grand Rapids ,Michigan,City proper,Estimate - de jure,"Final figure, complete",2014,190411,"1,2"
United States of America,2012,Total,Both Sexes,Green Bay ,Wisconsin,City proper,Estimate - de jure,"Final figure, complete",2014,104868,"1,2"
United States of America,2012,Total,Both Sexes,Greensboro ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,277080,"1,2"
United States of America,2012,Total,Both Sexes,Gresham ,Oregon,City proper,Estimate - de jure,"Final figure, complete",2014,108956,"1,2"
United States of America,2012,Total,Both Sexes,Hampton ,Virginia,City proper,Estimate - de jure,"Final figure, complete",2014,136836,"1,2"
United States of America,2012,Total,Both Sexes,Hartford ,Connecticut,City proper,Estimate - de jure,"Final figure, complete",2014,124893,"1,2"
United States of America,2012,Total,Both Sexes,Hayward ,California,City proper,Estimate - de jure,"Final figure, complete",2014,149392,"1,2"
United States of America,2012,Total,Both Sexes,Henderson ,Nevada,City proper,Estimate - de jure,"Final figure, complete",2014,265679,"1,2"
United States of America,2012,Total,Both Sexes,Hialeah ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,231941,"1,2"
United States of America,2012,Total,Both Sexes,High Point City ,North Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,106586,"1,2"
United States of America,2012,Total,Both Sexes,Hollywood ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,145236,"1,2"
United States of America,2012,Total,Both Sexes,Urban Honolulu ,Hawaii,City proper,Estimate - de jure,"Final figure, complete",2014,345610,"1,2"
United States of America,2012,Total,Both Sexes,Houston ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,2160821,"1,2"
United States of America,2012,Total,Both Sexes,Huntington Beach ,California,City proper,Estimate - de jure,"Final figure, complete",2014,194708,"1,2"
United States of America,2012,Total,Both Sexes,Huntsville ,Alabama,City proper,Estimate - de jure,"Final figure, complete",2014,183739,"1,2"
United States of America,2012,Total,Both Sexes,Independence ,Missouri,City proper,Estimate - de jure,"Final figure, complete",2014,117270,"1,2"
United States of America,2012,Total,Both Sexes,Indianapolis ,Indiana,City proper,Estimate - de jure,"Final figure, complete",2014,834852,"1,2"
United States of America,2012,Total,Both Sexes,Inglewood ,California,City proper,Estimate - de jure,"Final figure, complete",2014,111182,"1,2"
